,review,rating,Positive,Negative,Neutral,Output,Character Counts,Word Counts
0,nice produt like design lot  easi carri   look stylishread,5,0.431,0.0,0.569,Happy,58,9
1,awesom soundveri pretti see nd sound qualiti good wish take product love product read,5,0.471,0.0,0.529,Happy,85,14
2,awesom sound qualiti pros  hrs batteri life includ  min approx call timeawesom sound output bass trebl realli clear without equalis equalis sound wari depend handset sound qualityweightless carri head toomic good traffic good  option realli import mention realli expect lead brand implement thisconsveri tight ear adjust ok  tightread,4,0.194,0.0,0.806,Unhappy,334,48
3,think good product per qualiti also design quit good  use product januari  pandam situat becam use help  overal bass sound qualiti pretti good anoth thing give sigh relief provid wire help case lack chargesread,5,0.393,0.049,0.558,Happy,210,34
4,awsom sound power bass batteri backup also excel love bass huge lover music bass design build also niceand first time bought headphon electron item glad say first time love     excel product         thank boat make nice product keep make thank flipkart team deliv nice product risk lifread,5,0.486,0.03,0.484,Happy,289,46
5,product sound clear excel bass obvious good product valuabl money guy daut realli good productread,4,0.509,0.0,0.491,Unhappy,98,15
6,buy thispro sound qualiti build qualiti  bluetooth connect  bass clear high  batteri backup  use wire headphon charg headphonethi goodcron use long feel pain  ear earif need ear price go moto pul maxfin opinionif want good sound qualiti good bass wireless headread,4,0.198,0.067,0.735,Unhappy,264,41
7,first want talk sound qualiti sound qualiti best price segment bass realli punchi mid also good high volum sound crack bit  otherwis realli nice come build qualiti build qualiti amaz cannot get better headphon sturdi light made good qualiti plastic thing like bit tight sometim becom uncomfortaread,5,0.281,0.041,0.678,Happy,298,47
8,good look super fine clear sound power full bassread,5,0.691,0.0,0.309,Happy,52,9
9,headphon best bass perfect fit fix headthat mi  provid larg rang bluetoothand mic work fine bluetoothwir alsoread,4,0.484,0.0,0.516,Unhappy,113,17
10,great look n light weight sound cool design ok ok ear couf cheaper qualiti  minut feel pain ear n sweat sound qualiti excel n base awesom valu money price rang thank flipkart call featur also poorread,4,0.357,0.072,0.57,Unhappy,200,36
11,use headphon sinc  month great bass song lover like listen type song headphon great kind music tranc edm hindi old song great batteri life tooo great buy bole paisa vasooooolread,5,0.532,0.0,0.468,Happy,178,30
12,sound qualiti good cannot wear  minut sooo uncomfort ear start pain small size feel like somebodi press ear side great forc boat need improv designread,1,0.281,0.098,0.621,Unhappy,151,25
13,reson  star  sound alert connect low batteri incom call etc play  time volum volum usual hear anyth headphon notif play sound level everyon room hear imagin play r wear headphon like blast ear nowher play like loud wear wish throw awayreason hvnt thrown away yet  decent sound qualiti baread,1,0.322,0.035,0.644,Unhappy,291,49
14,batteri backup good time tight head bluetooth connect good speaker good bass good boat realli rock guy bought product dasar cost  rs price reasaonbl r observev use  month r chang wait batteri indic goodreal happi product deliveri goodread,3,0.266,0.0,0.734,Unhappy,238,38
15,best budget headset price rang  buy offer period sound qualiti awesom bass extrem good batteri backup  hour charg time  half hour main con  tight ear cuff  sweat  minut want adjust regular interv  mike qualiti worst  person hear surround nois overal rate   bass  sound qualiti  built qualiti  batteri backup read,5,0.146,0.071,0.783,Happy,312,49
16,good productsound qualiti good bass heavi say saw product got  rate place order truli say dissatisfi product bluetooth connect good huge lack shown music track play bluetooth issu aux mode built qualiti good main thing search bass heavi headphon say bass heavi soread,4,0.299,0.042,0.659,Unhappy,267,43
17,superb sound qualiti good design comfort good bettari life overal amaz product  read,5,0.579,0.0,0.421,Happy,84,13
18,amaz audio product boat superb bass crystal clear sound  awesom batteri backupgo without kind hesitationgreat deal priceread,5,0.285,0.118,0.596,Happy,124,17
19,awesom bass sound qualiti good bettari long life  purchas rs  realli grate product forget likeread,5,0.163,0.107,0.73,Happy,98,15
20,awesom product prize deal phone pe app get  rs good sound qualiti go itread,5,0.341,0.0,0.659,Happy,75,14
21,today get product realli good product price rang connect sound qualiti batteri backup built qualiti everyth goodveri good ekart deliveri servic also thank flipkart guy go itread,5,0.257,0.0,0.743,Happy,177,27
22,nice headphon grt sound qualiti much impress connect iz fast batteri backup iz fabul headband iz lill tight cannot wear long time otherwis grt product fulli satisfiedread,5,0.186,0.0,0.814,Happy,170,27
23, sound qualiti best      look super stylish headphon  packag superb       right tym delevir thanku flipkartread,5,0.526,0.0,0.474,Happy,111,14
24,best devic rang bass qualiti best simpli love devic got deliv  dayslight weight white neon colour simpli wow perfect rest ear comfort wellgo thank boat read,5,0.569,0.0,0.431,Happy,156,26
25,boat product good excel headphon buy bluetooth without wire use good wire also ad  sound bass perfect wait order enjoy nowread,4,0.495,0.0,0.505,Unhappy,126,21
26,wooowwww superb product good effect sound clariti bluetooth r work good system mobil phone headphon charger cabl also connect wire  warranti woooww  thank read,5,0.395,0.0,0.605,Happy,159,24
27,headphon better choic budget sound qualiti awesom batteri backup perfect approx   hour build qualiti averag one word better choiceread,5,0.373,0.0,0.627,Happy,134,19
28,yes good aspectexcept mic tri talk use mic bluetooth person cannot hear clear also low sound irrit want someth enjoy music budget qualiti good yes tight use get loosen littl comfort big head feel head small week got comfort keep volum mid rang use hour like use  hrs day keepiread,3,0.349,0.064,0.587,Unhappy,280,50
29,best bluetooth headset price rang total worth  buy amaz product thank flipkart deliv short period timeread,5,0.398,0.0,0.602,Happy,106,16
30,good sound good use sinc  week fulli satisfi itth noic cancel littl issu good price littl bit high accord qualiti offer recommend product go headphonesi total satisfiedread,3,0.318,0.057,0.625,Unhappy,172,27
31,sound relay rock compar headphon use hp lg soni     batteri thank design awesom batteri backup  hear song ful day batteri back  day   negat mic clear drive audibl  also speak call sound louder head phonesif sb improv headphon relay wonder product  worth doubt pleas go thisalso custom servic respons good rate iread,4,0.17,0.043,0.788,Unhappy,315,51
32,headfon beauti  sound qualiti osm bass power nice product  thank flipcard deliv ao quick salut flipcard staff love flipcard   read,5,0.358,0.0,0.642,Happy,130,20
33,headphon beauti classi light weight actual worth itbass awesom also good sound qualityread,5,0.304,0.0,0.696,Happy,90,13
34,awesom prodect got boat compani good provid good  durabl prodectread,5,0.42,0.0,0.58,Happy,68,10
35,realli love product  sound qualiti  awesom prefer buy friend built qualiti relay awesom guy love productread,5,0.472,0.0,0.528,Happy,108,16
36,sound tooo goodand qualiti good happi devic sound qualiti import best qualiti musicread,5,0.392,0.0,0.608,Happy,87,13
37,deliveri slowsound qualiti super bass also good build qualiti bad batteri also goodi one major problem mic good time mic clear call person voic clear voic clear thereread,4,0.4,0.142,0.458,Unhappy,170,28
38,light weight easi carri anywher attract model awesom servic flipkart love itread,5,0.401,0.0,0.599,Happy,80,12
39,design colour   good  sound qualiti awesom  love much productread,4,0.504,0.0,0.496,Unhappy,65,9
40,perfect price rang go  absolut amaz one feel delay pubg sound sound perfect synchronis game bought play pubg main pubg user r look good headphon  review help hit likeread,5,0.388,0.058,0.554,Happy,170,29
41,product good batteri backup also good recommend buy product life price rang best bluetooth headphoneread,5,0.532,0.0,0.468,Happy,104,15
42,bought flipkart sale  must say worth price bass pretti cool  sound qualiti awesom bt still give  star becoz littl uncomfort uh wear   ear start get pain bt week get use itread,4,0.118,0.093,0.789,Unhappy,175,31
43,good headphon play game like pubgyou easili get  everi footstep thisbut sound delay bluetooth modebut aux cabl work perfect finesound bass    batteri  read,5,0.362,0.072,0.566,Happy,155,23
44,honest review  month use bought  flipkartif bass lover go without confusionth base punchi feel ear vibrat thispro punchi bass know headset provid much bass mid  trebl crystal clear hear everi instrument batteri backup excel im get upto  day moder use use accord push upto week charg quicread,5,0.228,0.0,0.772,Happy,291,47
45, popular boat good sound product heavi punchi bass nice use mani boat ear phone experi nice boat rockerz  even better yes feel uncomfort fond ear headphon rather sound great bass awesom build good design stylish batteri backup also preeti goodif buy ear headphon  time never use tread,5,0.414,0.0,0.586,Happy,284,47
46,excel sound qualiti superior bass back great batteri power feather light  built qualiti mind blow purchas  good  music enthusiast wise choic purchas price rang total love read,5,0.538,0.0,0.462,Happy,175,27
47,good headphon give decent bass comfort take almost  day adjust elast although want good headphon overal decent qualiti go need extrem bass  buy skull candyread,4,0.314,0.0,0.686,Unhappy,159,25
48,order may   itz work proper sudden one side speaker work proper qualiti product work  daysread,1,0.0,0.0,1.0,Unhappy,94,15
49,first thank flipkarti got headphon  day earlierjust imagineblaz fast deliveri flipkartok review use  day design  comfort frank speak first headphon design pretti satisfactori show front friend  purchas black red one earcup adjust problem wearingnow comfort mani say tight uncomfort honestread,5,0.221,0.056,0.723,Happy,292,40
50,first thank flipkarti got headphon  day earlierjust imagineblaz fast deliveri flipkartok review use  day design  comfort frank speak first headphon design pretti satisfactori show front friend  purchas black red one earcup adjust problem wearingnow comfort mani say tight uncomfort honestread,5,0.221,0.056,0.723,Happy,292,40
51,valu money got headphon  summer salesound qualiti awesom good bass good nois cancel also connect devic quick n devic show batteri percentag headphon also thr coolest thing headphon often listen music headphon go itmust buy headphon satisfi purchaseread,5,0.139,0.048,0.813,Happy,252,38
52,cannt bought anyth cheap price well known brand worthi talk sound amaz batteri backup also good light weight carri hand call qualiti good enoughread,4,0.357,0.0,0.643,Unhappy,148,24
53,product good super extra bass work properlybatteri backup best normal  hour charg time correct descript product detailsin box audio plug charger cablewarranti card user manualetcwith high definit balanc sound next  previous function work laptop work mobileread,5,0.25,0.0,0.75,Happy,260,36
54,aa amaz product wo want buy recommend price one best product ny accord buy best headphon best love boatread,5,0.613,0.0,0.387,Happy,107,19
55,good choic best bass sound qualiti good like productread,5,0.714,0.0,0.286,Happy,56,9
56,one best wireless headphon  bass good special boat loud mid well contain overal satisfi headphonesread,4,0.52,0.0,0.48,Unhappy,102,15
57,sound qualiti awesom queri built design ear cup comfort wear   minut ear may start get painso pleas make big ear cup may feel comfort listen overal goodread,4,0.167,0.0,0.833,Unhappy,156,27
58,great headphon one best  great bass beat main con  bit uncomfort soi recommend buy head big adultit nice smaall children teensread,4,0.525,0.0,0.475,Unhappy,130,21
59,pros        vocal great love        bass decent        batteri  hour        built qualiti good look premium also foldabl con        connect problem appear use terrac          put phone pocket mayb due bluetooth   great purchas doubt                          best buy even purchas                          suggest buy offer sale purchas                                   read,4,0.338,0.09,0.572,Unhappy,374,40
60,good one reason headphon cover whole ear place year comfort cannot wear longer time start hurt tri anoth one price rang mani avail cost better thisread,1,0.246,0.101,0.653,Unhappy,151,26
61,reciev good packagingr thank flipkart wonder experi youon minor issu found bass head cushion materialth materi use blue color headset made cloth durabl compar other color variant modelread,4,0.172,0.0,0.828,Unhappy,188,28
62,super great product iam love thank flipkartread,5,0.831,0.0,0.169,Happy,47,7
63,good product boat like design headphon sound qualiti good batteri backup also good use play pubg listen music love productread,5,0.56,0.0,0.44,Happy,126,20
64,excel buy price great sound decent bass phone laptop equalis  chang set listen great theatr like sound  also light weight much pressur wear long read,5,0.395,0.0,0.605,Happy,149,25
65,headphon good price rang go sound qualiti excel provid great bass build qualiti excel batteri backup greatgo itread,5,0.481,0.0,0.519,Happy,115,18
66,bass good brought product  best valu money deliveri flipkart super fast deliv one day given dateread,5,0.458,0.0,0.542,Happy,100,16
67,good product cheap price even better jbl first also buyi jbl good better itread,5,0.537,0.0,0.463,Happy,79,14
68,good sound qualiti call ok batteri good bass good overal goodread,5,0.609,0.0,0.391,Happy,65,11
69,bang buckreal great headset best headphon priceth build qualiti good sturdi light weight sound qualiti headphon serious good bass realli amaz think other go read,5,0.398,0.037,0.565,Happy,161,25
70,amaz one problem  month usb code work proper over nice product read,5,0.181,0.174,0.645,Happy,67,12
71,awesom product  super qualiti  clear n high volum sound  chang song cushion qualiti goodread,5,0.371,0.0,0.629,Happy,92,14
72,nice sound qualiti give   bass give   qualiti  give   super batteri  give    hour song hear batteri backupperfect fitsultralight weightnois cancel mark averag qualityvoic call qualiti averag qualiti give  mic work goodaux cabl data cabl includ work finecushion better softoveral prodread,4,0.206,0.043,0.751,Unhappy,287,39
73,good packag still satisfi product worth money like muchyou guy go itread,4,0.448,0.0,0.552,Unhappy,72,12
74,decent headphonei buy  satisfi productprosgood good qualiti good light good batteri backupconsit littl bit tightdo know get wasi afta use muchear get painthi problem seen mani reviewsyoutub alsogood peopl love basscz normal sound littl bit button feel durableread,5,0.265,0.056,0.679,Happy,263,38
75,pack goodreceiv good conditionwork wellsound qualiti actual crystal clear bass appreci overal nice product valu money read,4,0.372,0.0,0.628,Unhappy,122,17
76,realli excit headphon first  sound qualiti expect bass also good main issu come comfort levelthes headphon comfort start feel pain ear with  min use worst part return option avail product exchang  realli disappoint use good music comfort productread,1,0.249,0.189,0.562,Unhappy,249,38
77,buy  colour cotton cushion  look good prefer one leather air cushion  sound qualiti   price rang goodbass   get much design   recommend  buy one leather cushion batteri   notic cancel also gud  recommend buy product sale get cheap priceplz guyz buy headphon play pubg bass heaphon disturb game cannot get crystal clear  qualread,4,0.171,0.114,0.714,Unhappy,328,50
78,great budget headphon look headphon budget  think twice bass head amaz batteri  decent   hrs averag fit good sometim feel loos need adjust overal good option design improv get  starsread,4,0.332,0.0,0.668,Unhappy,186,29
79,decent buy music  game wire give best experi last excel daili use  use  yr  write review  yr broken plastic fix tape decent recommend rough useread,4,0.287,0.092,0.621,Unhappy,147,25
80,hey fellow  headphon awesom superb basesuperb built qualiti metal holder      good  got rs  may get fr rate salesread,5,0.304,0.0,0.696,Happy,117,18
